Index,Value,Peak Type
0,76.070317,
1,66.955861,
2,59.497262,
3,53.460897,
4,48.635266,
5,44.830072,
6,41.875281,
7,39.620202,
8,37.932553,
9,36.697535,
10,35.816900,
11,35.208024,
12,34.802975,
13,34.547590,
14,34.400538,
15,34.332398,
16,34.324724,Minima
17,34.369121,
18,34.466313,
19,34.625214,
20,34.862000,
21,35.199180,
22,35.664665,
23,36.290841,
24,37.113640,
25,39.008885,
26,40.575487,
27,42.758151,
28,45.162079,
29,47.847191,
30,50.663766,
31,53.633530,
32,57.217114,
33,61.018585,
34,65.818205,
35,71.317065,
36,77.591030,
37,83.655533,
38,91.435691,
39,100.151918,
40,109.727872,
41,120.537628,
42,131.639398,
43,142.599954,
44,154.411378,
45,166.230243,
46,177.902383,
47,188.868932,
48,199.691670,
49,209.463169,
50,218.484864,
51,226.317428,
52,232.600664,
53,236.986494,
54,239.455735,
55,240.038595,Maxima
56,238.682332,
57,235.156715,
58,229.907811,
59,223.106326,
60,214.522157,
61,204.453593,
62,193.120397,
63,180.801949,
64,168.029484,
65,154.893139,
66,141.702072,
67,128.060897,
68,114.528180,
69,101.459419,
70,89.443457,
71,78.652451,
72,68.885303,
73,60.913825,
74,53.767736,
75,48.406679,
76,44.223971,
77,40.577490,
78,37.880470,
79,35.866482,
80,34.749617,
81,33.857684,
82,32.982350,
83,32.827201,
84,32.194360,
85,31.497822,
86,30.339409,
87,30.168500,
88,29.592463,
89,29.138269,
90,28.859409,
91,28.049168,
92,27.252352,Minima
93,27.271921,Maxima
94,27.216594,Minima
95,27.419540,
96,28.041246,
97,28.846359,
98,29.692275,
99,31.128973,
100,32.869342,
101,35.286520,
102,37.248545,
103,39.386561,
104,41.797142,
105,44.121184,
106,46.876488,
107,49.858995,
108,53.089772,
109,56.743358,
110,60.746748,
111,65.332580,
112,70.824808,
113,76.991537,
114,83.884643,
115,91.377038,
116,99.041541,
117,107.892521,
118,117.286106,
119,126.542054,
120,136.902946,
121,147.715676,
122,158.981365,
123,170.152397,
124,180.944607,
125,190.936721,
126,200.606174,
127,209.476252,
128,217.210680,
129,224.249882,
130,229.508713,
131,233.662508,
132,236.462277,
133,237.398106,Maxima
134,236.736332,
135,234.376304,
136,230.236213,
137,224.833628,
138,218.071350,
139,210.028972,
140,201.004980,
141,191.327269,
142,181.202585,
143,170.751800,
144,160.160823,
145,149.596495,
146,138.761812,
147,128.577145,
148,118.962534,
149,110.002280,
150,101.811784,
151,93.582333,
152,86.388213,
153,79.864937,
154,73.783902,
155,68.627943,
156,63.749425,
157,59.439512,
158,55.864162,
159,52.336924,
160,49.442994,
161,46.694401,
162,43.913349,
163,41.180115,
164,38.176167,
165,35.225792,
166,32.845098,
167,30.251167,
168,27.964628,
169,26.854051,
170,25.823747,
171,25.111711,
172,24.565552,
173,24.306894,Minima
174,24.341513,
175,24.939466,
176,25.745226,
177,26.993960,
178,29.319599,
179,31.633672,
180,34.332168,
181,36.621277,
182,39.252140,
183,42.647863,
184,46.080991,
185,49.086783,
186,51.968792,
187,54.609426,
188,57.056557,
189,59.727102,
190,62.646142,
191,65.785327,
192,69.376061,
193,73.539618,
194,78.423498,
195,84.011164,
196,90.332153,
197,97.462881,
198,105.918553,
199,114.987021,
200,124.627295,
201,134.954686,
202,145.884566,
203,157.276348,
204,168.609709,
205,180.202702,
206,191.314181,
207,202.069244,
208,211.778611,
209,220.739089,
210,228.103752,
211,234.042227,
212,238.222396,
213,240.603270,
214,241.193972,Maxima
215,239.833570,
216,236.670885,
217,231.729609,
218,224.799233,
219,216.212912,
220,206.078427,
221,194.811447,
222,182.498746,
223,169.547797,
224,156.253274,
225,143.168807,
226,130.456321,
227,118.466082,
228,106.851650,
229,96.094418,
230,86.367913,
231,78.385742,
232,71.847398,
233,65.811516,
234,60.558784,
235,56.171998,
236,52.519908,
237,49.420075,
238,46.939615,
239,44.778335,
240,42.907153,
241,41.290267,
242,39.809022,
243,38.438843,
244,37.192045,
245,36.125253,
246,35.299331,
247,34.946921,
248,33.676117,
249,32.393839,
250,31.185638,
251,30.145199,
252,28.960476,
253,27.328721,
254,27.316125,
255,26.182336,
256,24.964628,
257,24.340505,
258,24.182807,
259,24.094309,
260,24.059929,Minima
261,24.370122,
262,24.680739,
263,25.353254,
264,26.564811,
265,28.355640,
266,30.899227,
267,34.318571,
268,38.767411,
269,44.259691,
270,50.920957,
271,58.792268,
272,68.014121,
273,78.248303,
274,89.344376,
275,101.245267,
276,113.360322,
277,126.020621,
278,139.491209,
279,153.021441,
280,165.953994,
281,179.475448,
282,192.280277,
283,205.152005,
284,217.321939,
285,228.236895,
286,238.141732,
287,246.812697,
288,254.044139,
289,259.766353,
290,263.533217,
291,265.419894,
292,265.445242,Maxima
293,263.553578,
294,259.863190,
295,254.429439,
296,247.326629,
297,238.424443,
298,228.399191,
299,217.384350,
300,205.633649,
301,193.303635,
302,180.809131,
303,168.949207,
304,155.813174,
305,143.246283,
306,131.797889,
307,120.769113,
308,110.160071,
309,100.033419,
310,90.556057,
311,81.394210,
312,73.206172,
313,65.705125,
314,58.976850,
315,53.036442,
316,47.828838,
317,43.435968,
318,39.839535,
319,37.056357,
320,34.851694,
321,33.261796,
322,31.877260,
323,30.666896,
324,29.491836,
325,28.153870,
326,27.207619,
327,26.581371,
328,25.799654,
329,24.866756,
330,24.588769,
331,23.561553,
332,23.158724,
333,22.374224,
334,21.686704,
335,21.372942,
336,21.309830,Minima
337,21.371781,
338,21.716155,
339,22.264381,
340,23.369194,
341,24.947212,
342,26.828101,
343,29.215596,
344,32.219304,
345,35.324217,
346,38.866009,
347,42.703266,
348,47.308251,
349,51.583513,
350,55.463723,
351,58.175824,
352,60.606637,
353,62.885228,
354,64.201087,
355,65.428580,
356,66.096888,
357,66.795627,
358,67.384779,
359,68.371490,
360,69.808377,
361,71.851645,
362,74.573691,
363,78.629540,
364,83.914987,
365,90.286515,
366,97.644408,
367,105.656677,
368,114.496577,
369,123.871599,
370,134.224321,
371,144.790161,
372,155.524250,
373,165.967453,
374,177.420271,
375,188.585218,
376,200.204936,
377,211.951732,
378,223.083850,
379,233.670102,
380,242.928179,
381,250.706117,
382,256.900611,
383,261.318086,
384,263.702920,
385,263.766556,Maxima
386,261.672409,
387,257.595162,
388,251.522554,
389,243.623852,
390,234.045182,
391,223.076444,
392,211.100811,
393,198.442220,
394,185.106160,
395,171.973202,
396,159.143026,
397,146.776586,
398,134.025429,
399,121.469189,
400,115.082412,
401,102.623561,
402,90.702003,
403,79.450231,
404,68.989014,
405,59.425469,
406,50.851128,
407,43.340010,
408,36.946684,
409,31.704344,
410,27.622874,
411,24.686917,
412,22.853948,
413,22.052338,Minima
414,22.179423,
415,23.099578,
416,24.642282,
417,26.600184,
418,28.727180,
419,30.736473,
420,32.298648,
421,33.039741,Maxima
422,32.539301,
423,30.328467,
424,25.888033,
